Date,Set,LSTM_Probability,Actual
2019-02-01,Train,0.25802276,0
2019-02-02,Train,0.23634161,0
2019-02-03,Train,0.2169807,0
2019-02-04,Train,0.22675423,0
2019-02-05,Train,0.23943521,0
2019-02-06,Train,0.24718569,0
2019-02-07,Train,0.2667465,1
2019-02-08,Train,0.26999733,0
2019-02-09,Train,0.24259552,0
2019-02-10,Train,0.19799408,0
2019-02-11,Train,0.15892369,0
2019-02-12,Train,0.14446002,0
2019-02-13,Train,0.13560276,0
2019-02-14,Train,0.13408637,0
2019-02-15,Train,0.15276656,0
2019-02-16,Train,0.1749603,0
2019-02-17,Train,0.20037803,1
2019-02-18,Train,0.23557587,0
2019-02-19,Train,0.27247027,0
2019-02-20,Train,0.30954608,0
2019-02-21,Train,0.3521474,0
2019-02-22,Train,0.3804728,1
2019-02-23,Train,0.34638733,1
2019-02-24,Train,0.3211266,0
2019-02-25,Train,0.3136962,0
2019-02-26,Train,0.32260627,0
2019-02-27,Train,0.329675,0
2019-02-28,Train,0.33837935,0
2019-03-01,Train,0.34188148,0
2019-03-02,Train,0.33627847,0
2019-03-03,Train,0.3236908,0
2019-03-04,Train,0.29783997,1
2019-03-05,Train,0.28293502,0
2019-03-06,Train,0.2689928,0
2019-03-07,Train,0.24946344,0
2019-03-08,Train,0.23921552,0
2019-03-09,Train,0.23181522,0
2019-03-10,Train,0.22829016,0
2019-03-11,Train,0.2773382,0
2019-03-12,Train,0.310862,0
2019-03-13,Train,0.34134582,0
2019-03-14,Train,0.35592297,0
2019-03-15,Train,0.34895632,0
2019-03-16,Train,0.31552133,0
2019-03-17,Train,0.26062748,0
2019-03-18,Train,0.20613234,0
2019-03-19,Train,0.18219464,0
2019-03-20,Train,0.15749724,0
2019-03-21,Train,0.15796345,0
2019-03-22,Train,0.18142578,0
2019-03-23,Train,0.22516713,0
2019-03-24,Train,0.2698651,0
2019-03-25,Train,0.27368677,0
2019-03-26,Train,0.29853186,0
2019-03-27,Train,0.31590214,0
2019-03-28,Train,0.31160763,0
2019-03-29,Train,0.28476393,0
2019-03-30,Train,0.24501792,0
2019-03-31,Train,0.22146875,0
2019-04-01,Train,0.21405135,1
2019-04-02,Train,0.2036793,0
2019-04-03,Train,0.19236141,0
2019-04-04,Train,0.19205114,0
2019-04-05,Train,0.22611359,0
2019-04-06,Train,0.2671936,0
2019-04-07,Train,0.31232342,0
2019-04-08,Train,0.3575681,0
2019-04-09,Train,0.4133063,0
2019-04-10,Train,0.45459992,1
2019-04-11,Train,0.45656914,0
2019-04-12,Train,0.4723319,0
2019-04-13,Train,0.4797228,0
2019-04-14,Train,0.50029004,0
2019-04-15,Train,0.49183583,0
2019-04-16,Train,0.4595681,0
2019-04-17,Train,0.40798742,0
2019-04-18,Train,0.37029275,0
2019-04-19,Train,0.33779326,0
2019-04-20,Train,0.31021735,0
2019-04-21,Train,0.29047394,0
2019-04-22,Train,0.2749355,0
2019-04-23,Train,0.26347223,0
2019-04-24,Train,0.26613978,1
2019-04-25,Train,0.280025,0
