Set,LSTM_Probability,Actual
Train,0.5252184,1
Train,0.5271721,0
Train,0.52861357,1
Train,0.5292169,1
Train,0.52901137,1
Train,0.5281067,0
Train,0.52668864,0
Train,0.52480954,0
Train,0.5224757,1
Train,0.5198752,0
Train,0.51737523,0
Train,0.5151015,0
Train,0.5130871,1
Train,0.51123554,1
Train,0.50958467,1
Train,0.5082743,1
Train,0.50734967,1
Train,0.5069299,0
Train,0.5069876,0
Train,0.50747645,0
Train,0.5083116,1
Train,0.5092555,0
Train,0.5102319,1
Train,0.5111419,0
Train,0.5119987,0
Train,0.51260144,1
Train,0.5126532,0
Train,0.5122455,1
Train,0.51147056,0
Train,0.5105891,0
Train,0.50976557,1
Train,0.508942,0
Train,0.5082867,1
Train,0.50779223,1
Train,0.507547,1
Train,0.50765234,1
Train,0.50837004,1
Train,0.50979507,1
Train,0.5117242,0
Train,0.5139183,1
Train,0.5160568,1
Train,0.51794815,1
Train,0.51952696,1
Train,0.5207014,1
Train,0.52133274,1
Train,0.5214733,1
Train,0.5210909,1
Train,0.5203426,0
Train,0.519135,1
Train,0.51738095,0
Train,0.5153154,0
Train,0.51307774,0
Train,0.51070786,1
Train,0.50825554,1
Train,0.50588644,0
Train,0.5037992,0
Train,0.5020627,1
Train,0.5007076,1
Train,0.4997308,1
Train,0.49916074,1
Train,0.4990772,0
Train,0.49955463,0
Train,0.5005616,1
Train,0.5018923,0
Train,0.5033349,0
Train,0.5046884,1
Train,0.505686,0
Train,0.5063108,1
Train,0.5065005,1
Train,0.50639284,0
Train,0.50618744,1
Train,0.5059897,0
Train,0.5059017,0
Train,0.50596625,0
Train,0.50616086,0
Train,0.50641054,1
Train,0.50664085,0
Train,0.50674915,0
Train,0.5067439,1
Train,0.5064953,0
Train,0.50598216,1
Train,0.50525534,1
Train,0.50441396,1
Train,0.5036781,1
Train,0.5032151,1
Train,0.50322163,1
Train,0.5038482,1
Train,0.50509226,0
Train,0.5068302,1
Train,0.5086665,1
Train,0.51043445,0
Train,0.5120007,0
Train,0.5132916,1
Train,0.5140828,0
Train,0.51429814,0
Train,0.5139932,0
Train,0.51296616,1
Train,0.51123583,1
Train,0.5091877,0
Train,0.5070669,1
Train,0.50511575,1
Train,0.50342,0
Train,0.5020759,0
Train,0.5011519,0
Train,0.50057244,1
Train,0.5002456,0
Train,0.5001237,0
Train,0.5001382,1
Train,0.50022626,0
Train,0.50037,0
Train,0.5005541,0
Train,0.50061643,1
Train,0.50051665,1
Train,0.500271,1
Train,0.49994564,1
Train,0.4995966,1
Train,0.49941328,0
Train,0.4996218,0
Train,0.50036395,0
Train,0.50161254,1
Train,0.5031302,0
Train,0.5047651,0
Train,0.50635916,0
Train,0.50772655,1
Train,0.5087012,1
Train,0.5091965,0
Train,0.5093981,0
Train,0.5093347,0
Train,0.5090432,0
Train,0.508592,0
Train,0.5079842,0
Train,0.50728416,1
Train,0.50655913,0
Train,0.50599015,0
Train,0.505653,1
Train,0.5053783,0
Train,0.5051451,0
Train,0.50476956,0
Train,0.5042056,0
Train,0.5034366,1
Train,0.5025213,0
Train,0.5015426,0
Train,0.50052977,1
Train,0.49951035,1
Train,0.49852225,1
Train,0.49758577,0
Train,0.49667174,0
Train,0.49580947,0
Train,0.49503285,0
Train,0.49437773,1
Train,0.49385855,0
Train,0.49338824,1
Train,0.49311695,0
Train,0.4931143,0
Train,0.49353197,1
Train,0.49425352,0
Train,0.49515453,1
Train,0.49613518,0
Train,0.49716178,0
Train,0.4981596,1
Train,0.49899912,0
Train,0.49965847,1
Train,0.50011927,1
Train,0.5004332,1
Train,0.50077343,0
Train,0.50126576,0
Train,0.5019283,0
Train,0.5026376,1
Train,0.503247,1
Train,0.50409716,1
Train,0.50519884,0
Train,0.5065286,1
Train,0.50803125,0
Train,0.50958,0
Train,0.5109957,1
Train,0.51212,1
Train,0.51291597,0
Train,0.51337504,1
Train,0.51341665,0
Train,0.5131694,1
Train,0.5126264,0
Train,0.51201844,0
Train,0.5112834,1
Train,0.5100175,1
Train,0.5084084,0
Train,0.50673723,1
Train,0.50509894,0
Train,0.5035698,0
Train,0.50221694,0
Train,0.5010691,1
Train,0.5001246,1
Train,0.49940673,0
Train,0.49890777,0
Train,0.4985804,0
Train,0.49837932,0
Train,0.49824858,0
Train,0.49819744,1
Train,0.49819258,0
Train,0.49826023,1
Train,0.4983404,1
Train,0.4983491,1
Train,0.49832907,0
Train,0.49825853,1
Train,0.4982132,0
Train,0.49826422,0
Train,0.49843732,0
Train,0.4986966,0
Train,0.49903598,0
Train,0.4993979,1
Train,0.49970374,1
Train,0.50000024,1
Train,0.5003626,1
Train,0.5008186,0
Train,0.5014261,0
Train,0.502035,0
Train,0.502553,1
Train,0.50276923,1
Train,0.50276,0
Train,0.50259006,1
Train,0.50235814,0
Train,0.502213,0
Train,0.50214356,1
Train,0.50213385,0
Train,0.5023614,1
Train,0.50298965,0
Train,0.5040666,1
Train,0.5055778,0
Train,0.5075284,0
Train,0.50975704,0
Train,0.51200044,0
Train,0.5140215,1
Train,0.5156125,1
Train,0.5167626,1
Train,0.5173882,0
Train,0.5176077,0
Train,0.51743424,1
Train,0.51684594,0
Train,0.5155306,1
Train,0.513816,1
Train,0.5122347,1
Train,0.5111472,1
Train,0.5106744,1
Train,0.5110374,0
Train,0.51221263,0
Train,0.5138364,1
Train,0.5154557,0
Train,0.51693344,1
Train,0.5180645,0
Train,0.5189022,1
Train,0.51942843,0
Train,0.5197528,0
Train,0.52003187,1
Train,0.52012575,1
Train,0.5200033,0
Train,0.51980567,0
Train,0.51939493,1
Train,0.5185065,0
Train,0.5173513,0
Train,0.5160407,1
Train,0.51450324,0
Train,0.5127008,1
Train,0.5107877,1
Train,0.5089565,1
Train,0.507494,0
Train,0.50665736,1
Train,0.5066183,0
Train,0.50736964,1
Train,0.50872153,0
Train,0.51050365,0
Train,0.5125002,0
Train,0.51447916,1
Train,0.51616687,1
Train,0.5175948,1
Train,0.51878315,1
Train,0.51975095,1
Train,0.52048725,0
Train,0.5209837,1
Train,0.52101135,1
Train,0.52083606,0
Train,0.5205282,1
Train,0.51999205,0
Train,0.5193813,1
Train,0.5183723,0
Train,0.51695883,1
Train,0.51518726,0
Train,0.5134349,0
Train,0.5115038,1
Train,0.50952804,0
Train,0.5077304,1
Train,0.5062022,0
Train,0.505121,0
Train,0.5044459,0
Train,0.50405073,0
Train,0.5038382,0
Train,0.50378215,0
Train,0.5038092,0
Train,0.5038647,1
Train,0.5038493,0
Train,0.50377285,0
Train,0.5036604,1
Train,0.50350726,1
Train,0.50338566,0
Train,0.5034119,0
Train,0.5036113,0
Train,0.5038259,0
Train,0.5038754,1
Train,0.50376195,0
Train,0.50348043,1
Train,0.5030687,0
Train,0.50258577,1
Train,0.5020777,0
Train,0.5015452,1
Train,0.5009297,1
Train,0.5002756,1
Train,0.49954256,1
Train,0.49875,0
Train,0.49801406,0
Train,0.49738252,1
Train,0.4969115,1
Train,0.49659184,0
Train,0.4964559,1
Train,0.4965134,0
Train,0.49694878,0
Train,0.49766773,0
Train,0.49858963,1
Train,0.49946582,1
Train,0.5002152,1
Train,0.5008576,1
Train,0.5015007,0
Train,0.50219595,1
Train,0.50301456,0
Train,0.50406075,1
Train,0.50531495,0
Train,0.5068314,1
Train,0.50855684,0
Train,0.5104921,0
Train,0.5124335,0
Train,0.5141183,1
Train,0.51525116,0
Train,0.515834,0
Train,0.5156709,0
Train,0.51498175,1
Train,0.51370984,0
Train,0.5124554,1
Train,0.51148415,0
Train,0.51107365,0
Train,0.5112608,0
Train,0.51176775,1
Train,0.512372,1
Train,0.5131707,1
Train,0.5143248,1
Train,0.5158342,1
Train,0.5175654,1
Train,0.5194208,1
Train,0.5213692,1
Train,0.5232329,0
Train,0.52483374,1
Train,0.5256497,1
Train,0.52576953,0
Train,0.5252795,1
Train,0.52431095,1
Train,0.52307,1
Train,0.52157354,1
Train,0.51999134,0
Train,0.5184491,0
Train,0.5170248,0
Train,0.51568925,0
Train,0.5141325,1
Train,0.512276,1
Train,0.51028,1
Train,0.5082871,0
Train,0.5066519,1
Train,0.50540733,1
Train,0.5045881,1
Train,0.5042596,1
Train,0.5044409,0
Train,0.50516003,0
Train,0.5062896,1
Train,0.507473,1
Train,0.5085602,0
Train,0.50946116,1
Train,0.5099592,0
Train,0.5100014,1
Train,0.50960815,1
Train,0.50905037,0
Train,0.5086515,1
Train,0.50867385,0
Train,0.50930464,1
Train,0.5104215,0
Train,0.5121182,1
Train,0.5139663,1
Train,0.51571274,0
Train,0.5172691,0
Train,0.5183799,1
Train,0.51891065,1
Train,0.51889956,1
Train,0.5184159,1
Train,0.5175915,0
Train,0.5165055,1
Train,0.51494366,0
Train,0.51310205,0
Train,0.5112187,1
Train,0.5094427,1
Train,0.5078646,0
Train,0.5066885,0
Train,0.5058895,0
Train,0.5053663,1
Train,0.50500417,0
Train,0.5047183,1
Train,0.50445306,0
Train,0.50442946,0
Train,0.5047416,0
Train,0.505193,0
Train,0.5055691,0
Train,0.505671,1
Train,0.5053842,1
Train,0.50474787,0
Train,0.50400704,1
Train,0.50316346,0
Train,0.50241786,0
Train,0.50180185,1
Train,0.5012773,0
Train,0.50090384,1
Train,0.5007119,0
Train,0.5008168,1
Train,0.501311,0
Train,0.5023654,1
Train,0.5038159,0
Train,0.5055154,1
Train,0.50721085,0
Train,0.5087813,0
Train,0.5101019,0
Train,0.5111441,0
Train,0.5117692,1
Train,0.5118969,1
Train,0.511588,1
Train,0.511004,0
Train,0.5102973,1
Train,0.5095654,1
Train,0.5092504,1
Train,0.5095986,0
Train,0.5107464,1
Train,0.51243305,1
Train,0.51450443,1
Train,0.5166894,0
Train,0.5186852,1
